# Assignable

"role.evilDecoratorU.name" : "イビルデコレーター"
"role.evilDecoratorU.short" : "デコ"
"role.evilDecoratorU.blurb" : "粉飾としての美"

# Document

"role.evilDecoratorU.doc" : "他の人の役職を変更するインポスターです。"
"role.evilDecoratorU.ability.title" : "固有能力 "デコレーション""
"role.evilDecoratorU.ability.main" : "イビルデコレーターは他のプレイヤーの役職を変えることが出来ます。<br>第三陣営やマッドメイトに対してデコレーションを使用すると、デコレーションの使用回数を無駄にしてしまいます。<br>フィルターで排出されると選んだ役職のみ排出され、クルーメイトがインポスターになること等はありません。"
"role.evilDecoratorU.tips" : "フィルターを設定していないと、役職を配ることができません。"

# Options

"options.role.evilDecoratorU.detail" : "イビルデコレーターは他のプレイヤーの役職を変えることが出来ます。"


# Game


# UI

"button.label.decoration" : "装飾"

# Stats


# Titles
